PassengerId,Survived_pred,Prob
1289,1,1.0
1290,0,0.24
1291,0,0.05
1292,1,0.98
1293,0,0.0
1294,1,1.0
1295,0,0.38
1296,0,0.23916666666666664
1297,0,0.3515
1298,0,0.04
1299,0,0.39
1300,1,0.9364722222222222
1301,1,0.63
1302,1,0.7223519397269399
1303,1,1.0
1304,1,0.6471903235653237
1305,0,0.0
1306,1,1.0
1307,0,0.015
1308,0,0.0
1309,0,0.09
